2020-01-01, 36.6, 21.6, 29.1, 0.04, 0.5
2020-01-02, 36.7, 21.6, 29.1, 0.05, 0.4
2020-01-03, 36.7, 21.6, 29.1, 0.04, 0.5
2020-01-04, 36.7, 21.6, 29.1, 0.05, 0.4
2020-01-05, 36.7, 21.6, 29.2, 0.04, 0.5
2020-01-06, 36.8, 21.6, 29.2, 0.04, 0.4
2020-01-07, 36.8, 21.6, 29.2, 0.04, 0.5
2020-01-08, 36.8, 21.6, 29.2, 0.05, 0.4
2020-01-09, 36.9, 21.5, 29.2, 0.04, 0.4
2020-01-10, 36.9, 21.5, 29.2, 0.03, 0.4
2020-01-11, 37.0, 21.5, 29.2, 0.05, 0.4
2020-01-12, 37.0, 21.5, 29.3, 0.04, 0.4
2020-01-13, 37.1, 21.5, 29.3, 0.04, 0.4
2020-01-14, 37.1, 21.5, 29.3, 0.04, 0.5
2020-01-15, 37.2, 21.5, 29.3, 0.04, 0.4
2020-01-16, 37.2, 21.5, 29.4, 0.04, 0.4
2020-01-17, 37.3, 21.5, 29.4, 0.04, 0.4
2020-01-18, 37.3, 21.5, 29.4, 0.04, 0.4
2020-01-19, 37.4, 21.5, 29.5, 0.04, 0.4
2020-01-20, 37.5, 21.5, 29.5, 0.04, 0.4
2020-01-21, 37.6, 21.5, 29.5, 0.04, 0.4
2020-01-22, 37.7, 21.5, 29.6, 0.04, 0.4
2020-01-23, 37.8, 21.6, 29.7, 0.04, 0.3
2020-01-24, 37.9, 21.6, 29.7, 0.03, 0.4
2020-01-25, 38.0, 21.6, 29.8, 0.04, 0.3
2020-01-26, 38.1, 21.7, 29.9, 0.04, 0.4
2020-01-27, 38.2, 21.7, 30.0, 0.03, 0.3
2020-01-28, 38.4, 21.8, 30.1, 0.04, 0.4
2020-01-29, 38.5, 21.9, 30.2, 0.04, 0.4
2020-01-30, 38.7, 22.0, 30.3, 0.04, 0.3
2020-01-31, 38.9, 22.0, 30.5, 0.04, 0.4
